"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7
7.4,0.24,0.42,14,0.066,48,198,0.9979,2.89,0.42,8.9,6
6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,5
7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,5
7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,4
6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,6
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
6.9,0.54,0.32,13.2,0.05,53,236,0.9973,3.2,0.5,9.6,5
6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6
6.4,0.21,0.5,11.6,0.042,45,153,0.9972,3.15,0.43,8.8,5
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,4
6.7,0.13,0.29,5.3,0.051,31,122,0.9944,3.44,0.37,9.7,6
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
6.5,0.19,0.3,0.8,0.043,33,144,0.9936,3.42,0.39,9.1,6
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,6
6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,4
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6
6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6
5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5
5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6
6.6,0.58,0.3,5.1,0.057,30,123,0.9949,3.24,0.38,9,5
7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5
6.7,0.2,0.41,9.1,0.044,50,166,0.9954,3.14,0.58,9.8,6
6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4
7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6
7.2,0.19,0.46,3.8,0.041,82,187,0.9932,3.19,0.6,11.2,7
7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6
6.7,0.17,0.5,2.1,0.043,27,122,0.9923,3.15,0.45,10.3,6
6.1,0.41,0,1.6,0.063,36,87,0.9914,3.27,0.67,10.8,6
7.2,0.43,0.24,6.7,0.058,40,163,0.995,3.2,0.41,9.9,5
6.1,0.36,0.27,2.1,0.035,16,100,0.9917,3.4,0.71,11.5,7
5.9,0.3,0.47,7.85,0.03,19,133,0.9933,3.52,0.43,11.5,7
6.6,0.24,0.35,7.7,0.031,36,135,0.9938,3.19,0.37,10.5,5
6.8,0.28,0.44,9.3,0.031,35,137,0.9946,3.16,0.36,10.4,6
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
6.4,0.34,0.23,6.3,0.039,37,143,0.9944,3.19,0.65,10,6
6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,5
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,5
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7
7.5,0.35,0.28,9.6,0.051,26,157,0.9969,3.12,0.53,9.2,6
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6
6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,5
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
5.9,0.26,0.27,18.2,0.048,52,168,0.9993,3.35,0.44,9.4,5
6.4,0.19,0.42,2.9,0.032,32,83,0.9908,3.3,0.41,11.7,6
6.3,0.2,0.4,1.5,0.037,35,107,0.9917,3.46,0.5,11.4,6
6.3,0.14,0.39,1.2,0.044,26,116,0.992,3.26,0.53,10.3,6
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
7.4,0.31,0.28,1.6,0.05,33,137,0.9929,3.31,0.56,10.5,6
6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5
7.1,0.31,0.47,13.6,0.056,54,197,0.9978,3.1,0.49,9.3,5
6.4,0.34,0.1,1.1,0.048,19,84,0.9927,3.21,0.38,9.8,5
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
6.2,0.35,0.04,1.2,0.06,23,108,0.9934,3.26,0.54,9.2,5
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7
6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,6
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3
5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,5
5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7
6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,5
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
7.4,0.28,0.36,1.1,0.028,42,105,0.9893,2.99,0.39,12.4,7
7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5
6.2,0.18,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,6
6.6,0.34,0.28,1.3,0.035,32,90,0.9916,3.1,0.42,10.7,6
7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,7
7.8,0.19,0.26,8.9,0.039,42,182,0.996,3.18,0.46,9.9,6
6.8,0.2,0.38,4.7,0.04,27,103,0.994,3.37,0.58,10.7,6
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6
6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,6
6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,6
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,5
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6
6.8,0.18,0.37,1.6,0.055,47,154,0.9934,3.08,0.45,9.1,5
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,6
5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5
5.9,0.32,0.39,3.3,0.114,24,140,0.9934,3.09,0.45,9.2,6
5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6
6.4,0.1,0.35,4.9,0.048,31,103,0.9947,3.43,0.79,9.7,6
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5
5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6
6.4,0.16,0.22,1.4,0.04,41,149,0.9933,3.49,0.58,10,6
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,6
6.7,0.21,0.42,9.1,0.049,31,150,0.9953,3.12,0.74,9.9,7
7.4,0.3,0.22,1.4,0.046,16,135,0.9928,3.08,0.77,10.4,7
7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,6
6.7,0.34,0.54,16.3,0.047,44,181,0.9987,3.04,0.56,8.8,5
7.2,0.2,0.34,2.7,0.032,49,151,0.99,3.16,0.39,12.7,7
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
7.3,0.3,0.22,6.4,0.056,44,168,0.9947,3.13,0.35,10.1,6
6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,7
7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,6
7.3,0.2,0.37,1.2,0.037,48,119,0.992,3.32,0.49,10.9,6
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5,7
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8
7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
6.5,0.36,0.28,3.2,0.037,29,119,0.9908,3.25,0.65,12.4,8
7.8,0.32,0.33,2.4,0.037,18,101,0.9912,3.21,0.65,11.7,7
7.4,0.19,0.3,1.4,0.057,33,135,0.993,3.12,0.5,9.6,6
6,0.36,0.06,1.4,0.066,27,128,0.9934,3.26,0.55,9.3,5
7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6
5.8,0.31,0.33,1.2,0.036,23,99,0.9916,3.18,0.6,10.5,6
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,7
7.4,0.28,0.25,11.9,0.053,25,148,0.9976,3.1,0.62,9.2,5
6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4
6.4,0.24,0.29,11.4,0.051,32,166,0.9968,3.31,0.45,9.5,5
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,4
7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,6
5.9,0.24,0.26,12.3,0.053,34,134,0.9972,3.34,0.45,9.5,6
6.5,0.21,0.37,2.5,0.048,70,138,0.9917,3.33,0.75,11.4,7
7.7,0.27,0.35,5.3,0.03,30,117,0.992,3.11,0.42,12.2,6
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6
6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10,6
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
5.7,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5
6.7,0.17,0.37,2,0.039,34,125,0.9922,3.26,0.6,10.8,7
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6
6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5
7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5
5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7
6.4,0.33,0.28,1.1,0.038,30,110,0.9917,3.12,0.42,10.5,6
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6
6.1,0.25,0.24,12.1,0.046,51,172,0.998,3.35,0.45,9.5,5
7.8,0.3,0.4,1.8,0.028,23,122,0.9914,3.14,0.39,10.9,7
6.5,0.23,0.33,13.8,0.042,25,139,0.99695,3.35,0.56,10.4,6
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
6.7,0.2,0.42,14,0.038,83,160,0.9987,3.16,0.5,9.4,6
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7
7.1,0.14,0.4,1.2,0.051,55,136,0.9932,3.3,0.96,9.8,7
7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7
6.3,0.3,0.28,5,0.042,36,168,0.99505,3.22,0.69,9.5,6
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5
7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5
7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5
6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6
5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8
7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6
7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6
6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5
6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6
6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5
7.3,0.655,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6
6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7
7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8
7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5
7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5
6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,8
7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6
5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7
5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5
8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6
5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4
7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5
6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5
6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,5
8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5
6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7
6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5
6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6
5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5
6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5
6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7
6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6
6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6
5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7
7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7
6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,6
6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5
7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7
7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4
8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5
6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7
6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5
7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6
7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7
6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8
6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,6
8.8,0.17,0.38,1.8,0.04,39,148,0.9942,3.16,0.67,10.2,6
7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7
7.5,0.17,0.34,1.4,0.035,13,102,0.9918,3.05,0.74,11,5
7.7,0.275,0.3,1,0.039,19,75,0.992,3.01,0.56,10.7,5
7.3,0.49,0.32,5.2,0.043,18,104,0.9952,3.24,0.45,10.7,4
7.2,0.21,0.37,1.6,0.049,23,94,0.9924,3.16,0.48,10.9,7
7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5
6.1,0.37,0.36,4.7,0.035,36,116,0.991,3.31,0.62,12.6,6
7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5
7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7
6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,7
7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6
