"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,6
7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,5
7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,6
7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6
8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5
9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,6
8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6
8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5
6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,5
6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,5
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6
7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,6
7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,6
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,6
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6
6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,5
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5
7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,6
5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,5
6.6,0.56,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,7
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
6.6,0.725,0.2,7.8,0.073,29,79,0.9977,3.29,0.54,9.2,5
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
